Id;Designator;Package;Quantity;Designation;Supplier and ref
1;C1;C_Rect_L7_W2.5_P5;1;10u;ok
2;C2;C_Rect_L7_W2.5_P5;1;22u tantal;ok
3;C3;C_Rect_L7_W2.5_P5;1;100n;ok
4;C4,C5;C_Rect_L7_W2.5_P5;2;1u;ok
5;D1;LED-3MM;1;Led_Small;ok
6;IC1;DIP-8_W7.62mm_LongPads;1;ATTINY45-P;ok
7;P1;Pin_Header_Straight_2x05;1;CONN_02X05;ok
8;P2;Pin_Header_Straight_1x01;1;SIGNAL;-
9;P3;Pin_Header_Straight_1x08;1;CONN_01X08;-
10;P4;Pin_Header_Straight_2x03;1;ISP;ok
11;Q1;SOT-23;1;BSS138;ok
12;R5;Resistor_Horizontal_RM10mm;1;1k;ok
13;R1,R2,R3,R4,R8;Resistor_Horizontal_RM10mm;5;10k;ok
14;R6;Resistor_Horizontal_RM10mm;1;22;OK
15;U1;TO-220;1;78L33;ok
16;R7;Resistor_Vertical_RM5mm;1;Adjust;
17;U2;TMD2671;1;TMD2671;ok
18;P5;Pin_Header_Straight_1x04;1;Sensor;-
19;P6;SolderWirePad_single_0-8mmDrill;1;PWR;-
20;P7;SolderWirePad_single_0-8mmDrill;1;SCL;-
21;P8;SolderWirePad_single_0-8mmDrill;1;SDA;-
22;P9;SolderWirePad_single_0-8mmDrill;1;GND;-
